TABLE 16A.—UPDATED PROXY HOSPITAL VALUE-BASED PURCHASING (VBP) PROGRAM ADJUSTMENT FACTORS FOR FY 2020*					
CMS Certification Number (CCN)	Proxy FY 2020 Hospital VBP Adjustment Factor				
010001	0.9927056448				
010005	0.9929422490				
010006	0.9917119072				
010007	0.9921772288				
010011	0.9950243658				
010012	0.9943855345				
010016	0.9968935389				
010019	0.9992832412				
010021	0.9964676514				
010022	1.0186138032				
010023	0.9950243658				
010024	0.9976270119				
010029	1.0007028663				
010033	1.0076826898				
010034	1.0051746854				
010035	0.9953792721				
010036	1.0090549941				
010038	1.0098831088				
010039	0.9940069678				
010040	0.9963966701				
010044	1.0182352365				
010045	1.0129353028				
010046	1.0083215211				
010049	1.0026666811				
010055	0.9956631971				
010056	1.0001586767				
010061	0.9990229766				
010062	0.9977926348				
010065	0.9978872765				
010069	1.0040389853				
010073	1.0017675852				
010078	0.9983841453				
010079	1.0010104518				
010083	1.0099540900				
010085	0.9974613890				
010086	0.9981712015				
010087	0.9919248510				
010089	0.9956868576				
010090	0.9958524805				
010091	0.9957105180				
010092	0.9891565820				
010097	1.0044175520				
010099	1.0035184561				
010100	1.0055769126				
010101	0.9980292390				
010103	0.9935810803				
010104	1.0024773977				
010108	1.0012943768				
010112	0.9970355014				
010113	0.9985261078				
010114	1.0016256226				
010118	1.0041572874				
010120	1.0095282025				
010125	1.0034711353				
010126	0.9868142006				
010128	0.9921141343				
010129	0.9994488641				
010130	1.0093389191				
010131	0.9970591618				
010139	0.9958998013				
010144	0.9994725245				
010148	1.0099067692				
010149	0.9976033515				
010150	0.9996854683				
010157	1.0001271295				
010158	1.0012628296				
010164	1.0043229104				
010168	1.0064996689				
010169	1.0072568023				
020001	1.0031872103				
020006	1.0151357217				
020008	1.0054112896				
020012	1.0156325905				
020017	1.0054822709				
020018	1.0125567361				
020024	1.0053639688				
020026	1.0032581915				
030002	0.9948350825				
030006	0.9936993824				
030007	1.0011524143				
030010	0.9988810141				
030011	0.9963020284				
030012	1.0025720394				
030013	1.0009394705				
030014	0.9944801762				
030016	1.0051510250				
030022	0.9890856008				
030023	1.0030925686				
030024	0.9926110031				
030030	1.0017439247				
030033	1.0148517967				
030036	0.9945511575				
030037	0.9968935389				
030038	0.9940542887				
030043	0.9988810141				
030055	0.9983131640				
030061	1.0091023149				
030062	1.0027140019				
030064	1.0020751706				
030065	0.9987390516				
030068	1.0037077395				
030069	1.0094335608				
030071	1.0120835277				
030073	1.0093862400				
030078	1.0220209035				
030083	0.9994961850				
030084	1.0096701650				
030085	0.9906471884				
030087	0.9939359866				
030088	0.9962783680				
030089	0.9965859535				
030092	0.9973194264				
030093	1.0081795586				
030094	0.9925873427				
030101	1.0133611903				
030103	1.0137870778				
030105	1.0056005730				
030110	0.9961837264				
030111	1.0058844980				
030114	1.0086764274				
030115	1.0087000878				
030117	1.0116813006				
030119	0.9978636161				
030121	1.0047724583				
030122	0.9955448951				
030123	1.0066889522				
030130	1.0002059975				
030134	1.0125567361				
040001	0.9978872765				
040002	1.0054586105				
040004	0.9914043218				
040007	0.9927056448				
040010	0.9984787870				
040011	1.0228411314				
040014	1.0040153249				
040015	1.0022881144				
040016	0.9925400219				
040017	0.9986444099				
040019	0.9976033515				
040020	0.9919721718				
040022	0.9916882468				
040026	0.9967515764				
040027	0.9989283349				
040029	0.9993542225				
040036	0.9889909591				
040039	0.9927293052				
040041	1.0004426017				
040047	0.9868142006				
040050	1.0057425355				
040051	1.0017202643				
040055	0.9941252699				
040062	0.9970828223				
040067	0.9947641012				
040069	1.0004426017				
040071	0.9906945092				
040072	1.0157745530				
040074	0.9904105842				
040076	1.0097174858				
040078	0.9938650053				
040084	0.9927766261				
040085	1.0173361406				
040088	0.9943382137				
040114	0.9887780153				
040118	0.9994961850				
040119	1.0024300769				
040134	1.0153959863				
040137	0.9914200954				
040153	0.9915462843				
040154	1.0082032190				
050002	0.9962310472				
050006	1.0008921497				
050007	1.0123911131				
050008	0.9939123262				
050009	1.0060264605				
050013	1.0041336270				
050014	1.0024300769				
050017	1.0016729435				
050022	0.9950953471				
050024	1.0024064165				
050025	1.0012233955				
050026	0.9950243658				
050028	1.0120835277				
050036	0.9967988972				
050038	0.9993069016				
050039	1.0001586767				
050040	1.0113579415				
050042	1.0009158101				
050043	0.9986680703				
050045	1.0080612565				
050047	1.0020751706				
050054	0.9983131640				
050055	1.0096701650				
050056	0.9882811465				
050057	0.9953556117				
050058	0.9985261078				
050060	0.9935100990				
050063	1.0003952809				
050067	1.0099067692				
050069	0.9981475411				
050070	1.0104746192				
050071	1.0113579415				
050072	1.0051115910				
050073	1.0083925024				
050075	1.0038970228				
050076	1.0066258578				
050077	0.9972957660				
050078	0.9995198454				
050082	1.0027140019				
050084	1.0005135830				
050089	0.9987390516				
050090	1.0003006392				
050091	0.9943224401				
050093	0.9950716867				
050099	0.9974140681				
050100	0.9968462181				
050101	0.9938413449				
050102	0.9956158763				
050103	1.0045831750				
050104	0.9960890847				
050107	1.0023590956				
050108	0.9963730097				
050110	0.9975796911				
050112	1.0001113558				
050113	1.0025247186				
050115	0.9977453140				
050116	0.9962310472				
050118	1.0027849832				
050121	1.0002769788				
050122	0.9936520616				
050124	1.0010814330				
050125	1.0010104518				
050126	1.0003006392				
050127	1.0038497020				
050128	0.9977926348				
050129	0.9960890847				
050131	1.0105692609				
050133	0.9973430869				
